# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-10 17:07:34 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01554000 Susquehanna River at Sunbury, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01554000
#            TS   parameter     statistic     Description
#        119098       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	119098_00060_00003	119098_00060_00003_cd
USGS	01554000	1937-10-26	70400	A
USGS	01554000	1937-10-27	47800	A
USGS	01554000	1937-10-28	40300	A
USGS	01554000	1937-10-29	52600	A
USGS	01554000	1937-10-30	99300	A
USGS	01554000	1937-10-31	92500	A
USGS	01554000	1937-11-01	63800	A
USGS	01554000	1937-11-02	47800	A
USGS	01554000	1937-11-03	37400	A
USGS	01554000	1937-11-04	31200	A
USGS	01554000	1937-11-05	27200	A
USGS	01554000	1937-11-06	24100	A
USGS	01554000	1937-11-07	21700	A
USGS	01554000	1937-11-08	19900	A
USGS	01554000	1937-11-09	18200	A
USGS	01554000	1937-11-10	17100	A
USGS	01554000	1937-11-11	15900	A
USGS	01554000	1937-11-12	14800	A
USGS	01554000	1937-11-13	29300	A
USGS	01554000	1937-11-14	77200	A
USGS	01554000	1937-11-15	95900	A
USGS	01554000	1937-11-16	77200	A
USGS	01554000	1937-11-17	55800	A
USGS	01554000	1937-11-18	44800	A
USGS	01554000	1937-11-19	37400	A
USGS	01554000	1937-11-20	33900	A
USGS	01554000	1937-11-21	29800	A
USGS	01554000	1937-11-22	27200	A
USGS	01554000	1937-11-23	24700	A
USGS	01554000	1937-11-24	22300	A
USGS	01554000	1937-11-25	20500	A
USGS	01554000	1937-11-26	18800	A
USGS	01554000	1937-11-27	18200	A
USGS	01554000	1937-11-28	18800	A
USGS	01554000	1937-11-29	22300	A
USGS	01554000	1937-11-30	24700	A
USGS	01554000	1937-12-01	27200	A
USGS	01554000	1937-12-02	25300	A
USGS	01554000	1937-12-03	22300	A
USGS	01554000	1937-12-04	19900	A
USGS	01554000	1937-12-05	18200	A
USGS	01554000	1937-12-06	17100	A
USGS	01554000	1937-12-07	17100	A
USGS	01554000	1937-12-08	17100	A
USGS	01554000	1937-12-09	14400	A
USGS	01554000	1937-12-10	12900	A
USGS	01554000	1937-12-11	11700	A
USGS	01554000	1937-12-12	10800	A
USGS	01554000	1937-12-13	10000	A
USGS	01554000	1937-12-14	9000	A
USGS	01554000	1937-12-15	8300	A
USGS	01554000	1937-12-16	8700	A
USGS	01554000	1937-12-17	10000	A
USGS	01554000	1937-12-18	22600	A
USGS	01554000	1937-12-19	108000	A
USGS	01554000	1937-12-20	131000	A
USGS	01554000	1937-12-21	94200	A
USGS	01554000	1937-12-22	67000	A
USGS	01554000	1937-12-23	52600	A
USGS	01554000	1937-12-24	43300	A
USGS	01554000	1937-12-25	37400	A
USGS	01554000	1937-12-26	33200	A
USGS	01554000	1937-12-27	29800	A
USGS	01554000	1937-12-28	26600	A
USGS	01554000	1937-12-29	24700	A
USGS	01554000	1937-12-30	22300	A
USGS	01554000	1937-12-31	21100	A
USGS	01554000	1938-01-01	22300	A
USGS	01554000	1938-01-02	29800	A
USGS	01554000	1938-01-03	38800	A
USGS	01554000	1938-01-04	37400	A
USGS	01554000	1938-01-05	31800	A
USGS	01554000	1938-01-06	27200	A
USGS	01554000	1938-01-07	24700	A
USGS	01554000	1938-01-08	25300	A
USGS	01554000	1938-01-09	24100	A
USGS	01554000	1938-01-10	22900	A
USGS	01554000	1938-01-11	19300	A
USGS	01554000	1938-01-12	18800	A
USGS	01554000	1938-01-13	17600	A
USGS	01554000	1938-01-14	18200	A
USGS	01554000	1938-01-15	16600	A
USGS	01554000	1938-01-16	15900	A
USGS	01554000	1938-01-17	13500	A
USGS	01554000	1938-01-18	13500	A
USGS	01554000	1938-01-19	11000	A
USGS	01554000	1938-01-20	9090	A
USGS	01554000	1938-01-21	9500	A
USGS	01554000	1938-01-22	10700	A
USGS	01554000	1938-01-23	10900	A
USGS	01554000	1938-01-24	11500	A
USGS	01554000	1938-01-25	16100	A
USGS	01554000	1938-01-26	49900	A
USGS	01554000	1938-01-27	84000	A
USGS	01554000	1938-01-28	75500	A
USGS	01554000	1938-01-29	54200	A
USGS	01554000	1938-01-30	40300	A
USGS	01554000	1938-01-31	35300	A
USGS	01554000	1938-02-01	32500	A
USGS	01554000	1938-02-02	30500	A
USGS	01554000	1938-02-03	29200	A
USGS	01554000	1938-02-04	29200	A
USGS	01554000	1938-02-05	29200	A
USGS	01554000	1938-02-06	29800	A
USGS	01554000	1938-02-07	38800	A
USGS	01554000	1938-02-08	54200	A
USGS	01554000	1938-02-09	70400	A
USGS	01554000	1938-02-10	68700	A
USGS	01554000	1938-02-11	65400	A
USGS	01554000	1938-02-12	62200	A
USGS	01554000	1938-02-13	52600	A
USGS	01554000	1938-02-14	54200	A
USGS	01554000	1938-02-15	77200	A
USGS	01554000	1938-02-16	70400	A
USGS	01554000	1938-02-17	54200	A
USGS	01554000	1938-02-18	43300	A
USGS	01554000	1938-02-19	38800	A
USGS	01554000	1938-02-20	41800	A
USGS	01554000	1938-02-21	47800	A
USGS	01554000	1938-02-22	43300	A
USGS	01554000	1938-02-23	37400	A
USGS	01554000	1938-02-24	33900	A
USGS	01554000	1938-02-25	31800	A
USGS	01554000	1938-02-26	29800	A
USGS	01554000	1938-02-27	27200	A
USGS	01554000	1938-02-28	24700	A
USGS	01554000	1938-03-01	21700	A
USGS	01554000	1938-03-02	21100	A
USGS	01554000	1938-03-03	20500	A
USGS	01554000	1938-03-04	20500	A
USGS	01554000	1938-03-05	22300	A
USGS	01554000	1938-03-06	27900	A
USGS	01554000	1938-03-07	53600	A
USGS	01554000	1938-03-08	80600	A
USGS	01554000	1938-03-09	55800	A
USGS	01554000	1938-03-10	41800	A
USGS	01554000	1938-03-11	27200	A
USGS	01554000	1938-03-12	29200	A
USGS	01554000	1938-03-13	26600	A
USGS	01554000	1938-03-14	27900	A
USGS	01554000	1938-03-15	44200	A
USGS	01554000	1938-03-16	62200	A
USGS	01554000	1938-03-17	60600	A
USGS	01554000	1938-03-18	67000	A
USGS	01554000	1938-03-19	80600	A
USGS	01554000	1938-03-20	73800	A
USGS	01554000	1938-03-21	67000	A
USGS	01554000	1938-03-22	60600	A
USGS	01554000	1938-03-23	55800	A
USGS	01554000	1938-03-24	51000	A
USGS	01554000	1938-03-25	52600	A
USGS	01554000	1938-03-26	55800	A
USGS	01554000	1938-03-27	49400	A
USGS	01554000	1938-03-28	41800	A
USGS	01554000	1938-03-29	37400	A
USGS	01554000	1938-03-30	33900	A
USGS	01554000	1938-03-31	31200	A
USGS	01554000	1938-04-01	29800	A
USGS	01554000	1938-04-02	29800	A
USGS	01554000	1938-04-03	29800	A
USGS	01554000	1938-04-04	28600	A
USGS	01554000	1938-04-05	26000	A
USGS	01554000	1938-04-06	24100	A
USGS	01554000	1938-04-07	22900	A
USGS	01554000	1938-04-08	22300	A
USGS	01554000	1938-04-09	24100	A
USGS	01554000	1938-04-10	31800	A
USGS	01554000	1938-04-11	40300	A
USGS	01554000	1938-04-12	49400	A
USGS	01554000	1938-04-13	72100	A
USGS	01554000	1938-04-14	90800	A
USGS	01554000	1938-04-15	87400	A
USGS	01554000	1938-04-16	70400	A
USGS	01554000	1938-04-17	55800	A
USGS	01554000	1938-04-18	46300	A
USGS	01554000	1938-04-19	43300	A
USGS	01554000	1938-04-20	43300	A
USGS	01554000	1938-04-21	40300	A
USGS	01554000	1938-04-22	38800	A
USGS	01554000	1938-04-23	37400	A
USGS	01554000	1938-04-24	36000	A
USGS	01554000	1938-04-25	35300	A
USGS	01554000	1938-04-26	31800	A
USGS	01554000	1938-04-27	29200	A
USGS	01554000	1938-04-28	26000	A
USGS	01554000	1938-04-29	24100	A
USGS	01554000	1938-04-30	22300	A
USGS	01554000	1938-05-01	20500	A
USGS	01554000	1938-05-02	18800	A
USGS	01554000	1938-05-03	17600	A
USGS	01554000	1938-05-04	16600	A
USGS	01554000	1938-05-05	15900	A
USGS	01554000	1938-05-06	16400	A
USGS	01554000	1938-05-07	16600	A
USGS	01554000	1938-05-08	14900	A
USGS	01554000	1938-05-09	13900	A
USGS	01554000	1938-05-10	13700	A
USGS	01554000	1938-05-11	13600	A
USGS	01554000	1938-05-12	13500	A
USGS	01554000	1938-05-13	13200	A
USGS	01554000	1938-05-14	12800	A
USGS	01554000	1938-05-15	13100	A
USGS	01554000	1938-05-16	15800	A
USGS	01554000	1938-05-17	18200	A
USGS	01554000	1938-05-18	21100	A
USGS	01554000	1938-05-19	24100	A
USGS	01554000	1938-05-20	21700	A
USGS	01554000	1938-05-21	19900	A
USGS	01554000	1938-05-22	19900	A
USGS	01554000	1938-05-23	19900	A
USGS	01554000	1938-05-24	22300	A
USGS	01554000	1938-05-25	28600	A
USGS	01554000	1938-05-26	33900	A
USGS	01554000	1938-05-27	31200	A
USGS	01554000	1938-05-28	28600	A
USGS	01554000	1938-05-29	25300	A
USGS	01554000	1938-05-30	22300	A
USGS	01554000	1938-05-31	19900	A
USGS	01554000	1938-06-01	17600	A
USGS	01554000	1938-06-02	15600	A
USGS	01554000	1938-06-03	15900	A
USGS	01554000	1938-06-04	13900	A
USGS	01554000	1938-06-05	13000	A
USGS	01554000	1938-06-06	11800	A
USGS	01554000	1938-06-07	11200	A
USGS	01554000	1938-06-08	10600	A
USGS	01554000	1938-06-09	10000	A
USGS	01554000	1938-06-10	9590	A
USGS	01554000	1938-06-11	8690	A
USGS	01554000	1938-06-12	8290	A
USGS	01554000	1938-06-13	8530	A
USGS	01554000	1938-06-14	9500	A
USGS	01554000	1938-06-15	10700	A
USGS	01554000	1938-06-16	10300	A
USGS	01554000	1938-06-17	10300	A
USGS	01554000	1938-06-18	9500	A
USGS	01554000	1938-06-19	8530	A
USGS	01554000	1938-06-20	7580	A
USGS	01554000	1938-06-21	6830	A
USGS	01554000	1938-06-22	6410	A
USGS	01554000	1938-06-23	6000	A
USGS	01554000	1938-06-24	5680	A
USGS	01554000	1938-06-25	5480	A
USGS	01554000	1938-06-26	5480	A
USGS	01554000	1938-06-27	6550	A
USGS	01554000	1938-06-28	15300	A
USGS	01554000	1938-06-29	25300	A
USGS	01554000	1938-06-30	26600	A
USGS	01554000	1938-07-01	19300	A
USGS	01554000	1938-07-02	15700	A
USGS	01554000	1938-07-03	13300	A
USGS	01554000	1938-07-04	11500	A
USGS	01554000	1938-07-05	9930	A
USGS	01554000	1938-07-06	8690	A
USGS	01554000	1938-07-07	7650	A
USGS	01554000	1938-07-08	6830	A
USGS	01554000	1938-07-09	6270	A
USGS	01554000	1938-07-10	5940	A
USGS	01554000	1938-07-11	6340	A
USGS	01554000	1938-07-12	6980	A
USGS	01554000	1938-07-13	6200	A
USGS	01554000	1938-07-14	5680	A
USGS	01554000	1938-07-15	5550	A
USGS	01554000	1938-07-16	5880	A
USGS	01554000	1938-07-17	5160	A
USGS	01554000	1938-07-18	4960	A
USGS	01554000	1938-07-19	4960	A
USGS	01554000	1938-07-20	4720	A
USGS	01554000	1938-07-21	5030	A
USGS	01554000	1938-07-22	7580	A
USGS	01554000	1938-07-23	14700	A
USGS	01554000	1938-07-24	19300	A
USGS	01554000	1938-07-25	16300	A
USGS	01554000	1938-07-26	11500	A
USGS	01554000	1938-07-27	9500	A
USGS	01554000	1938-07-28	8130	A
USGS	01554000	1938-07-29	7200	A
USGS	01554000	1938-07-30	8610	A
USGS	01554000	1938-07-31	8530	A
USGS	01554000	1938-08-01	8850	A
USGS	01554000	1938-08-02	9250	A
USGS	01554000	1938-08-03	8770	A
USGS	01554000	1938-08-04	8050	A
USGS	01554000	1938-08-05	6900	A
USGS	01554000	1938-08-06	6270	A
USGS	01554000	1938-08-07	5880	A
USGS	01554000	1938-08-08	5420	A
USGS	01554000	1938-08-09	5220	A
USGS	01554000	1938-08-10	5360	A
USGS	01554000	1938-08-11	5220	A
USGS	01554000	1938-08-12	5220	A
USGS	01554000	1938-08-13	7980	A
USGS	01554000	1938-08-14	17600	A
USGS	01554000	1938-08-15	12700	A
USGS	01554000	1938-08-16	9590	A
USGS	01554000	1938-08-17	7890	A
USGS	01554000	1938-08-18	8050	A
USGS	01554000	1938-08-19	7500	A
USGS	01554000	1938-08-20	13800	A
USGS	01554000	1938-08-21	9090	A
USGS	01554000	1938-08-22	8290	A
USGS	01554000	1938-08-23	7050	A
USGS	01554000	1938-08-24	5740	A
USGS	01554000	1938-08-25	4960	A
USGS	01554000	1938-08-26	4600	A
USGS	01554000	1938-08-27	4720	A
USGS	01554000	1938-08-28	4480	A
USGS	01554000	1938-08-29	4140	A
USGS	01554000	1938-08-30	3800	A
USGS	01554000	1938-08-31	3550	A
USGS	01554000	1938-09-01	3400	A
USGS	01554000	1938-09-02	3350	A
USGS	01554000	1938-09-03	3160	A
USGS	01554000	1938-09-04	2980	A
USGS	01554000	1938-09-05	2890	A
USGS	01554000	1938-09-06	2760	A
USGS	01554000	1938-09-07	2720	A
USGS	01554000	1938-09-08	2720	A
USGS	01554000	1938-09-09	2600	A
USGS	01554000	1938-09-10	2520	A
USGS	01554000	1938-09-11	2480	A
USGS	01554000	1938-09-12	2560	A
USGS	01554000	1938-09-13	2680	A
USGS	01554000	1938-09-14	2760	A
USGS	01554000	1938-09-15	3020	A
USGS	01554000	1938-09-16	3160	A
USGS	01554000	1938-09-17	5920	A
USGS	01554000	1938-09-18	11800	A
USGS	01554000	1938-09-19	9760	A
USGS	01554000	1938-09-20	8770	A
USGS	01554000	1938-09-21	9840	A
USGS	01554000	1938-09-22	15000	A
USGS	01554000	1938-09-23	44600	A
USGS	01554000	1938-09-24	67000	A
USGS	01554000	1938-09-25	63800	A
USGS	01554000	1938-09-26	49400	A
USGS	01554000	1938-09-27	33900	A
USGS	01554000	1938-09-28	24700	A
USGS	01554000	1938-09-29	19300	A
USGS	01554000	1938-09-30	16100	A
USGS	01554000	1938-10-01	14100	A
USGS	01554000	1938-10-02	12500	A
USGS	01554000	1938-10-03	11100	A
USGS	01554000	1938-10-04	9930	A
USGS	01554000	1938-10-05	9090	A
USGS	01554000	1938-10-06	8610	A
USGS	01554000	1938-10-07	8370	A
USGS	01554000	1938-10-08	7730	A
USGS	01554000	1938-10-09	7200	A
USGS	01554000	1938-10-10	6820	A
USGS	01554000	1938-10-11	6520	A
USGS	01554000	1938-10-12	6150	A
USGS	01554000	1938-10-13	5870	A
USGS	01554000	1938-10-14	5660	A
USGS	01554000	1938-10-15	5450	A
USGS	01554000	1938-10-16	5190	A
USGS	01554000	1938-10-17	4930	A
USGS	01554000	1938-10-18	4560	A
USGS	01554000	1938-10-19	4380	A
USGS	01554000	1938-10-20	4320	A
USGS	01554000	1938-10-21	4260	A
USGS	01554000	1938-10-22	4380	A
USGS	01554000	1938-10-23	4380	A
USGS	01554000	1938-10-24	4560	A
USGS	01554000	1938-10-25	5260	A
USGS	01554000	1938-10-26	5870	A
USGS	01554000	1938-10-27	5800	A
USGS	01554000	1938-10-28	5660	A
USGS	01554000	1938-10-29	6520	A
USGS	01554000	1938-10-30	6820	A
USGS	01554000	1938-10-31	6300	A
USGS	01554000	1938-11-01	6010	A
USGS	01554000	1938-11-02	5590	A
USGS	01554000	1938-11-03	5260	A
USGS	01554000	1938-11-04	5060	A
USGS	01554000	1938-11-05	4930	A
USGS	01554000	1938-11-06	5380	A
USGS	01554000	1938-11-07	6520	A
USGS	01554000	1938-11-08	6900	A
USGS	01554000	1938-11-09	6820	A
USGS	01554000	1938-11-10	7350	A
USGS	01554000	1938-11-11	7650	A
USGS	01554000	1938-11-12	7500	A
USGS	01554000	1938-11-13	7580	A
USGS	01554000	1938-11-14	7500	A
USGS	01554000	1938-11-15	7500	A
USGS	01554000	1938-11-16	6820	A
USGS	01554000	1938-11-17	6300	A
USGS	01554000	1938-11-18	6150	A
USGS	01554000	1938-11-19	6600	A
USGS	01554000	1938-11-20	11300	A
USGS	01554000	1938-11-21	18800	A
USGS	01554000	1938-11-22	25300	A
USGS	01554000	1938-11-23	24700	A
USGS	01554000	1938-11-24	21100	A
USGS	01554000	1938-11-25	18200	A
USGS	01554000	1938-11-26	15800	A
USGS	01554000	1938-11-27	13900	A
USGS	01554000	1938-11-28	13500	A
USGS	01554000	1938-11-29	12000	A
USGS	01554000	1938-11-30	12000	A
USGS	01554000	1938-12-01	12500	A
USGS	01554000	1938-12-02	12500	A
USGS	01554000	1938-12-03	12700	A
USGS	01554000	1938-12-04	16600	A
USGS	01554000	1938-12-05	28600	A
USGS	01554000	1938-12-06	61600	A
USGS	01554000	1938-12-07	78900	A
USGS	01554000	1938-12-08	70400	A
USGS	01554000	1938-12-09	57400	A
USGS	01554000	1938-12-10	55000	A
USGS	01554000	1938-12-11	90800	A
USGS	01554000	1938-12-12	87400	A
USGS	01554000	1938-12-13	68700	A
USGS	01554000	1938-12-14	52500	A
USGS	01554000	1938-12-15	40300	A
USGS	01554000	1938-12-16	31800	A
USGS	01554000	1938-12-17	26000	A
USGS	01554000	1938-12-18	22300	A
USGS	01554000	1938-12-19	20500	A
USGS	01554000	1938-12-20	19900	A
USGS	01554000	1938-12-21	18800	A
USGS	01554000	1938-12-22	17100	A
USGS	01554000	1938-12-23	15800	A
USGS	01554000	1938-12-24	13700	A
USGS	01554000	1938-12-25	13100	A
USGS	01554000	1938-12-26	12700	A
USGS	01554000	1938-12-27	12300	A
USGS	01554000	1938-12-28	13400	A
USGS	01554000	1938-12-29	10800	A
USGS	01554000	1938-12-30	9500	A
USGS	01554000	1938-12-31	8600	A
USGS	01554000	1939-01-01	8600	A
USGS	01554000	1939-01-02	9090	A
USGS	01554000	1939-01-03	9760	A
USGS	01554000	1939-01-04	9930	A
USGS	01554000	1939-01-05	9760	A
USGS	01554000	1939-01-06	11500	A
USGS	01554000	1939-01-07	16600	A
USGS	01554000	1939-01-08	19900	A
USGS	01554000	1939-01-09	24700	A
USGS	01554000	1939-01-10	25300	A
USGS	01554000	1939-01-11	23500	A
USGS	01554000	1939-01-12	21100	A
USGS	01554000	1939-01-13	21700	A
USGS	01554000	1939-01-14	21100	A
USGS	01554000	1939-01-15	18800	A
USGS	01554000	1939-01-16	15400	A
USGS	01554000	1939-01-17	14100	A
USGS	01554000	1939-01-18	13600	A
USGS	01554000	1939-01-19	13300	A
USGS	01554000	1939-01-20	12900	A
USGS	01554000	1939-01-21	11000	A
USGS	01554000	1939-01-22	10000	A
USGS	01554000	1939-01-23	9200	A
USGS	01554000	1939-01-24	7600	A
USGS	01554000	1939-01-25	7800	A
USGS	01554000	1939-01-26	7800	A
USGS	01554000	1939-01-27	6600	A
USGS	01554000	1939-01-28	6200	A
USGS	01554000	1939-01-29	7400	A
USGS	01554000	1939-01-30	9200	A
USGS	01554000	1939-01-31	17000	A
USGS	01554000	1939-02-01	24000	A
USGS	01554000	1939-02-02	26000	A
USGS	01554000	1939-02-03	26600	A
USGS	01554000	1939-02-04	33200	A
USGS	01554000	1939-02-05	31200	A
USGS	01554000	1939-02-06	27200	A
USGS	01554000	1939-02-07	24700	A
USGS	01554000	1939-02-08	23500	A
USGS	01554000	1939-02-09	22300	A
USGS	01554000	1939-02-10	21700	A
USGS	01554000	1939-02-11	22300	A
USGS	01554000	1939-02-12	23500	A
USGS	01554000	1939-02-13	26600	A
USGS	01554000	1939-02-14	26000	A
USGS	01554000	1939-02-15	29100	A
USGS	01554000	1939-02-16	87200	A
USGS	01554000	1939-02-17	104000	A
USGS	01554000	1939-02-18	82300	A
USGS	01554000	1939-02-19	68700	A
USGS	01554000	1939-02-20	62200	A
USGS	01554000	1939-02-21	124000	A
USGS	01554000	1939-02-22	180000	A
USGS	01554000	1939-02-23	146000	A
USGS	01554000	1939-02-24	97600	A
USGS	01554000	1939-02-25	70400	A
USGS	01554000	1939-02-26	55800	A
USGS	01554000	1939-02-27	57400	A
USGS	01554000	1939-02-28	65400	A
USGS	01554000	1939-03-01	90800	A
USGS	01554000	1939-03-02	99300	A
USGS	01554000	1939-03-03	89100	A
USGS	01554000	1939-03-04	72100	A
USGS	01554000	1939-03-05	60600	A
USGS	01554000	1939-03-06	60600	A
USGS	01554000	1939-03-07	75500	A
USGS	01554000	1939-03-08	84000	A
USGS	01554000	1939-03-09	73800	A
USGS	01554000	1939-03-10	60600	A
USGS	01554000	1939-03-11	51000	A
USGS	01554000	1939-03-12	44800	A
USGS	01554000	1939-03-13	43300	A
USGS	01554000	1939-03-14	41800	A
USGS	01554000	1939-03-15	41800	A
USGS	01554000	1939-03-16	44800	A
USGS	01554000	1939-03-17	49400	A
USGS	01554000	1939-03-18	47800	A
USGS	01554000	1939-03-19	41800	A
USGS	01554000	1939-03-20	35300	A
USGS	01554000	1939-03-21	31800	A
USGS	01554000	1939-03-22	29800	A
USGS	01554000	1939-03-23	28600	A
USGS	01554000	1939-03-24	26600	A
USGS	01554000	1939-03-25	27200	A
USGS	01554000	1939-03-26	38800	A
USGS	01554000	1939-03-27	64000	A
USGS	01554000	1939-03-28	92500	A
USGS	01554000	1939-03-29	108000	A
USGS	01554000	1939-03-30	101000	A
USGS	01554000	1939-03-31	90800	A
USGS	01554000	1939-04-01	97600	A
USGS	01554000	1939-04-02	97600	A
USGS	01554000	1939-04-03	95900	A
USGS	01554000	1939-04-04	87400	A
USGS	01554000	1939-04-05	72100	A
USGS	01554000	1939-04-06	60600	A
USGS	01554000	1939-04-07	55800	A
USGS	01554000	1939-04-08	55800	A
USGS	01554000	1939-04-09	57400	A
USGS	01554000	1939-04-10	49400	A
USGS	01554000	1939-04-11	43300	A
USGS	01554000	1939-04-12	44800	A
USGS	01554000	1939-04-13	44800	A
USGS	01554000	1939-04-14	43300	A
USGS	01554000	1939-04-15	40300	A
USGS	01554000	1939-04-16	40300	A
USGS	01554000	1939-04-17	44800	A
USGS	01554000	1939-04-18	44800	A
USGS	01554000	1939-04-19	43300	A
USGS	01554000	1939-04-20	43300	A
USGS	01554000	1939-04-21	43300	A
USGS	01554000	1939-04-22	44800	A
USGS	01554000	1939-04-23	43300	A
USGS	01554000	1939-04-24	38800	A
USGS	01554000	1939-04-25	36000	A
USGS	01554000	1939-04-26	33200	A
USGS	01554000	1939-04-27	30500	A
USGS	01554000	1939-04-28	29800	A
USGS	01554000	1939-04-29	29800	A
USGS	01554000	1939-04-30	27900	A
USGS	01554000	1939-05-01	26000	A
USGS	01554000	1939-05-02	24100	A
USGS	01554000	1939-05-03	22300	A
USGS	01554000	1939-05-04	20500	A
USGS	01554000	1939-05-05	18800	A
USGS	01554000	1939-05-06	17100	A
USGS	01554000	1939-05-07	16000	A
USGS	01554000	1939-05-08	14900	A
USGS	01554000	1939-05-09	14100	A
USGS	01554000	1939-05-10	13700	A
USGS	01554000	1939-05-11	13200	A
USGS	01554000	1939-05-12	12300	A
USGS	01554000	1939-05-13	11500	A
USGS	01554000	1939-05-14	11400	A
USGS	01554000	1939-05-15	10800	A
USGS	01554000	1939-05-16	10100	A
USGS	01554000	1939-05-17	9590	A
USGS	01554000	1939-05-18	9250	A
USGS	01554000	1939-05-19	8770	A
USGS	01554000	1939-05-20	8450	A
USGS	01554000	1939-05-21	8210	A
USGS	01554000	1939-05-22	9500	A
USGS	01554000	1939-05-23	16200	A
USGS	01554000	1939-05-24	18200	A
USGS	01554000	1939-05-25	17600	A
USGS	01554000	1939-05-26	16000	A
USGS	01554000	1939-05-27	14400	A
USGS	01554000	1939-05-28	13100	A
USGS	01554000	1939-05-29	11600	A
USGS	01554000	1939-05-30	10600	A
USGS	01554000	1939-05-31	9680	A
USGS	01554000	1939-06-01	9010	A
USGS	01554000	1939-06-02	8450	A
USGS	01554000	1939-06-03	7890	A
USGS	01554000	1939-06-04	7500	A
USGS	01554000	1939-06-05	7050	A
USGS	01554000	1939-06-06	6520	A
USGS	01554000	1939-06-07	5940	A
USGS	01554000	1939-06-08	5590	A
USGS	01554000	1939-06-09	5190	A
USGS	01554000	1939-06-10	5000	A
USGS	01554000	1939-06-11	4930	A
USGS	01554000	1939-06-12	5120	A
USGS	01554000	1939-06-13	5520	A
USGS	01554000	1939-06-14	5450	A
USGS	01554000	1939-06-15	5260	A
USGS	01554000	1939-06-16	5450	A
USGS	01554000	1939-06-17	5450	A
USGS	01554000	1939-06-18	5060	A
USGS	01554000	1939-06-19	4740	A
USGS	01554000	1939-06-20	4800	A
USGS	01554000	1939-06-21	4740	A
USGS	01554000	1939-06-22	6190	A
USGS	01554000	1939-06-23	6600	A
USGS	01554000	1939-06-24	5800	A
USGS	01554000	1939-06-25	5120	A
USGS	01554000	1939-06-26	6470	A
USGS	01554000	1939-06-27	6150	A
USGS	01554000	1939-06-28	5120	A
USGS	01554000	1939-06-29	4440	A
USGS	01554000	1939-06-30	4200	A
USGS	01554000	1939-07-01	5000	A
USGS	01554000	1939-07-02	6080	A
USGS	01554000	1939-07-03	6520	A
USGS	01554000	1939-07-04	6380	A
USGS	01554000	1939-07-05	5450	A
USGS	01554000	1939-07-06	4620	A
USGS	01554000	1939-07-07	4200	A
USGS	01554000	1939-07-08	3820	A
